Order_ID,Order_Date,Product_ID,Warehouse_ID,Supplier_ID,Customer_City,Category,Product_Name,Quantity,Unit_Price,Revenue,Shipping_Cost,Delivery_Days,Order_Status,Payment_Method,Quantity outlier,Delivery date outliers
100061,07/04/2025,P0139,W04,S015,Ahmedabad,Office Supplies,Pen,3,4003,12009,408,5,Delivered,Card,Normal,On Time
100062,8/29/2024,P0372,W01,S012,Pune,Furniture,Shelf,14,1465,20510,262,2,Cancelled,Net Banking,Normal,On Time
100063,08/01/2025,P0211,W01,S018,Pune,Office Supplies,Printer Paper,2,1754,3508,112,8,Delivered,UPI,Normal,On Time
100064,11/07/2025,P0027,W02,S001,Vizag,Electronics,Headphones,7,2108,14756,218,3,Pending,Card,Normal,On Time
100065,5/30/2025,P0227,W05,S002,Pune,Furniture,Desk,19,1627,30913,185,1,Delivered,Net Banking,Normal,On Time
100066,9/14/2025,P0152,W01,S005,Ahmedabad,Office Supplies,Stapler,10,455,4550,81,8,Shipped,Net Banking,Normal,On Time
100067,7/18/2025,P0739,W02,S014,Delhi,Furniture,Shelf,19,2863,54397,245,10,Shipped,Net Banking,Normal,On Time
100068,04/03/2024,P0088,W01,S014,Bengaluru,Furniture,Desk,14,3915,54810,254,7,Cancelled,Cash,Normal,On Time
100069,12/26/2024,P0107,W05,S017,Mumbai,Electronics,Keyboard,5,4800,24000,337,6,Shipped,Net Banking,Normal,On Time
100070,1/27/2024,P0624,W03,S001,Jaipur,Electronics,Mouse,16,1086,17376,229,9,Shipped,Cash,Normal,On Time
100071,12/15/2024,P0162,W03,S010,Vizag,Electronics,Keyboard,10,3075,30750,53,3,Delivered,Net Banking,Normal,On Time
100072,10/06/2024,P0221,W05,S004,Kolkata,Office Supplies,Printer Paper,19,630,11970,129,3,Cancelled,Card,Normal,On Time
100073,9/18/2024,P0297,W03,S004,Chennai,Furniture,Table,4,4186,16744,319,5,delivered,Net Banking,Normal,On Time
100074,08/12/2025,P0440,W05,S013,Ahmedabad,Electronics,Monitor,14,3314,46396,322,4,Delivered,Cash,Normal,On Time
100075,6/20/2025,P0081,W04,S010,Delhi,Office Supplies,Marker,10,370,3700,216,3,Cancelled,Net Banking,Normal,On Time
100076,7/21/2024,P0178,W05,S005,Bengaluru,Office Supplies,Printer Paper,8,1577,12616,89,9,Cancelled,UPI,Normal,On Time
100077,3/28/2025,P0647,W03,S009,Pune,Office Supplies,Notebook,6,4247,25482,287,10,Cancelled,Net Banking,Normal,On Time
100078,4/18/2025,P0595,W05,S002,Delhi,Office Supplies,Notebook,12,2742,32904,286,8,Delivered,Cash,Normal,On Time
100079,09/10/2024,P0725,W04,S015,Delhi,Furniture,Shelf,7,4096,28672,306,3,Cancelled,Net Banking,Normal,On Time
100080,11/25/2025,P0396,W03,S009,Pune,Office Supplies,Stapler,20,3254,65080,194,7,Delivered,Cash,Normal,On Time
100081,12/02/2024,P0131,W05,S003,Delhi,Office Supplies,Stapler,5,4973,24865,389,3,Shipped,Cash,Normal,On Time
100082,4/13/2024,P0520,W05,S017,Bengaluru,Office Supplies,Marker,17,3170,53890,208,3,Shipped,Cash,Normal,On Time
100083,04/04/2025,P0240,W05,S008,Hyderabad,Electronics,Keyboard,20,3286,65720,128,3,Delivered,UPI,Normal,On Time
100084,9/13/2024,P0054,W04,S012,Hyderabad,Furniture,Table,7,4872,34104,275,8,Shipped,Net Banking,Normal,On Time
100085,1/28/2024,P0425,W01,S013,Hyderabad,Office Supplies,Notebook,17,2535,43095,92,3,Delivered,UPI,Normal,On Time
100086,4/28/2025,P0713,W02,S016,Bengaluru,Office Supplies,Printer Paper,8,868,6944,241,4,Cancelled,Card,Normal,On Time
100087,9/29/2025,P0469,W01,S004,Delhi,Furniture,Shelf,1,355,355,181,4,Cancelled,Net Banking,Normal,On Time
100088,6/20/2025,P0370,W01,S017,Kolkata,Furniture,Shelf,18,4421,79578,344,4,Cancelled,Cash,Normal,On Time
100089,11/03/2025,P0644,W01,S019,Pune,Office Supplies,Stapler,17,3398,57766,497,8,Cancelled,Net Banking,Normal,On Time
100090,4/13/2025,P0038,W03,S007,Bengaluru,Office Supplies,Printer Paper,5,4672,23360,223,3,Shipped,Net Banking,Normal,On Time
100091,05/07/2024,P0377,W04,S013,Mumbai,Electronics,Mouse,2,2740,5480,313,7,Pending,Net Banking,Normal,On Time
100092,10/27/2024,P0329,W01,S003,Jaipur,Office Supplies,Marker,13,1730,22490,304,8,Shipped,Cash,Normal,On Time
100093,2/28/2024,P0077,W04,S012,Kolkata,Furniture,Cabinet,10,3690,36900,135,8,Cancelled,Card,Normal,On Time
100094,3/19/2024,P0588,W02,S017,Ahmedabad,Office Supplies,Pen,1,3789,3789,67,3,Delivered,Cash,Normal,On Time
100095,9/18/2025,P0293,W04,S007,Chennai,Furniture,Table,11,2244,24684,108,1,Delivered,Net Banking,Normal,On Time
100096,10/15/2025,P0179,W03,S017,Bengaluru,Electronics,Mouse,3,3846,11538,94,6,Cancelled,Card,Normal,On Time
100097,05/05/2025,P0539,W04,S014,Delhi,Electronics,Laptop,7,2139,14973,454,8,Pending,Cash,Normal,On Time
100098,2/26/2024,P0128,W05,S005,Bengaluru,Office Supplies,Notebook,5,807,4035,280,8,Pending,Cash,Normal,On Time
100099,10/18/2025,P0173,W05,S019,Chennai,Furniture,Desk,6,2047,12282,227,9,Cancelled,Card,Normal,On Time
100100,5/24/2025,P0643,W05,S010,Jaipur,Electronics,Mouse,20,2965,59300,481,10,Cancelled,Card,Normal,On Time
100101,11/22/2024,P0752,W03,S013,Hyderabad,Office Supplies,Printer Paper,16,3526,56416,202,8,Shipped,Card,Normal,On Time
100102,06/12/2024,P0336,W05,S011,Kolkata,Electronics,Keyboard,17,2814,47838,173,8,Delivered,Net Banking,Normal,On Time
100103,10/15/2024,P0507,W05,S016,Hyderabad,Electronics,Mouse,16,4024,64384,305,5,Shipped,Card,Normal,On Time
100104,3/16/2024,P0396,W05,S015,Vizag,Furniture,Shelf,1,3730,3730,118,5,Shipped,Net Banking,Normal,On Time
100105,02/11/2024,P0047,W01,S005,Hyderabad,Office Supplies,Printer Paper,20,1173,23460,115,2,Cancelled,Cash,Normal,On Time
100106,12/26/2025,P0577,W03,S016,Vizag,Office Supplies,Printer Paper,16,1420,22720,360,9,Cancelled,Cash,Normal,On Time
100107,8/20/2025,P0492,W02,S017,Jaipur,Electronics,Keyboard,11,3612,39732,348,5,Cancelled,Card,Normal,On Time
100108,5/28/2025,P0794,W05,S016,Bengaluru,Office Supplies,Stapler,13,2184,28392,66,10,Shipped,Card,Normal,On Time
100109,11/28/2025,P0659,W03,S020,Pune,Office Supplies,Notebook,5,4794,23970,216,8,Shipped,Cash,Normal,On Time
100110,10/07/2024,P0295,W01,S019,Pune,Furniture,Desk,8,2645,21160,165,5,Shipped,UPI,Normal,On Time
100111,9/19/2024,P0766,W04,S007,Delhi,Office Supplies,Stapler,13,3432,44616,469,6,Cancelled,UPI,Normal,On Time
100112,4/28/2025,P0103,W02,S001,Mumbai,Electronics,Headphones,9,2425,21825,120,2,Pending,UPI,Normal,On Time
100113,02/08/2024,P0180,W04,S006,Delhi,Office Supplies,Pen,14,4096,57344,294,4,Delivered,Cash,Normal,On Time
100114,5/17/2024,P0517,W04,S009,Vizag,Electronics,Monitor,16,2571,41136,498,45,Cancelled,Card,Normal,Delayed
100115,2/19/2025,P0438,W05,S011,Hyderabad,Electronics,Laptop,11,3959,43549,381,5,Cancelled,Card,Normal,On Time
100116,08/09/2025,P0012,W03,S012,Chennai,Electronics,Monitor,4,1351,5404,294,6,Pending,Card,Normal,On Time
100117,06/05/2024,P0466,W05,S012,Hyderabad,Office Supplies,Pen,2,4012,8024,207,3,Cancelled,Cash,Normal,On Time
100118,06/01/2025,P0208,W05,S018,Jaipur,Furniture,Shelf,16,1989,31824,440,4,Cancelled,Card,Normal,On Time
100119,7/31/2025,P0060,W05,S015,Ahmedabad,Electronics,Mouse,11,3819,42009,109,4,Shipped,Net Banking,Normal,On Time
100120,4/28/2025,P0033,W03,S014,Mumbai,Office Supplies,Printer Paper,1,224,224,431,4,Delivered,Card,Normal,On Time
100121,8/16/2024,P0004,W01,S010,Vizag,Electronics,Mouse,14,3333,46662,279,7,Cancelled,UPI,Normal,On Time
100122,1/17/2024,P0247,W02,S003,Kolkata,Furniture,Shelf,14,2081,29134,176,8,Delivered,Cash,Normal,On Time
100123,08/12/2025,P0327,W05,S020,Chennai,Electronics,Headphones,2,598,1196,175,1,Delivered,UPI,Normal,On Time
100124,12/18/2024,P0659,W04,S017,Kolkata,Office Supplies,Printer Paper,8,1373,10984,388,9,Pending,Cash,Normal,On Time
100125,7/24/2025,P0543,W02,S013,Mumbai,Furniture,Table,14,3283,45962,144,9,Pending,UPI,Normal,On Time
100126,8/24/2025,P0742,W05,S007,Jaipur,Electronics,Keyboard,7,847,5929,280,6,Shipped,UPI,Normal,On Time
100127,09/02/2024,P0566,W03,S010,Jaipur,Furniture,Desk,11,325,3575,158,4,Shipped,Card,Normal,On Time
100128,2/27/2025,P0047,W05,S008,Pune,Furniture,Table,18,2726,49068,183,6,Shipped,Net Banking,Normal,On Time
100129,12/02/2025,P0346,W03,S016,Hyderabad,Office Supplies,Pen,1,4984,4984,346,7,Shipped,UPI,Normal,On Time
100130,01/07/2024,P0423,W02,S008,Delhi,Office Supplies,Marker,15,3085,46275,136,3,Delivered,Net Banking,Normal,On Time
100131,10/08/2024,P0549,W03,S001,Vizag,Electronics,Mouse,1,3935,3935,241,1,delivered,Net Banking,Normal,On Time
100132,08/01/2025,P0250,W02,S010,Delhi,Office Supplies,Marker,6,989,5934,318,3,Cancelled,Cash,Normal,On Time
100133,04/07/2024,P0541,W01,S008,Kolkata,Office Supplies,Notebook,2,3306,6612,243,9,Delivered,Card,Normal,On Time
100134,12/30/2025,P0408,W01,S010,Hyderabad,Electronics,Headphones,16,809,12944,400,5,cancelled,Card,Normal,On Time
100135,3/18/2024,P0349,W05,S020,Pune,Electronics,Headphones,8,3387,27096,396,9,Delivered,UPI,Normal,On Time
100136,9/25/2025,P0303,W02,S003,Jaipur,Office Supplies,Marker,11,2439,26829,451,8,Shipped,Cash,Normal,On Time
100137,3/17/2025,P0460,W05,S018,Chennai,Electronics,Keyboard,5,1463,7315,428,7,Cancelled,Card,Normal,On Time
100138,7/26/2025,P0249,W05,S017,Kolkata,Office Supplies,Marker,4,3099,12396,333,2,Delivered,Cash,Normal,On Time
100139,10/02/2025,P0508,W05,S020,Delhi,Electronics,Monitor,6,2666,15996,187,8,Shipped,UPI,Normal,On Time
100140,8/31/2025,P0140,W03,S011,Kolkata,Electronics,Monitor,4,255,1020,252,6,Cancelled,Net Banking,Normal,On Time
100141,4/26/2024,P0578,W02,S019,Chennai,Office Supplies,Pen,16,3462,55392,213,5,Pending,Net Banking,Normal,On Time
100142,11/06/2024,P0248,W03,S005,Kolkata,Office Supplies,Pen,18,3981,71658,412,4,Delivered,Cash,Normal,On Time
100143,4/21/2024,P0788,W02,S012,Vizag,Office Supplies,Marker,13,4125,53625,348,7,Cancelled,Net Banking,Normal,On Time
100144,12/05/2025,P0590,W02,S015,Vizag,Electronics,Headphones,2,3473,6946,435,6,Delivered,Net Banking,Normal,On Time
100145,5/25/2024,P0357,W03,S011,Delhi,Furniture,Table,15,4299,64485,127,6,Shipped,Net Banking,Normal,On Time
100146,4/21/2024,P0694,W02,S008,Delhi,Furniture,Desk,17,4100,69700,99,8,Cancelled,Net Banking,Normal,On Time
100147,7/21/2024,P0461,W05,S014,Kolkata,Office Supplies,Pen,18,4786,86148,268,8,Pending,Net Banking,Normal,On Time
100148,10/16/2025,P0321,W05,S013,Chennai,Furniture,Chair,7,712,4984,345,2,Pending,UPI,Normal,On Time
100149,07/06/2024,P0383,W02,S017,Pune,Office Supplies,Marker,19,3083,58577,482,8,Delivered,Cash,Normal,On Time
100150,2/24/2024,P0368,W01,S016,Bengaluru,Furniture,Table,20,3343,66860,266,3,Shipped,UPI,Normal,On Time
100151,8/13/2024,P0300,W01,S009,Delhi,Electronics,Mouse,13,4340,56420,384,8,Shipped,Net Banking,Normal,On Time
100152,3/27/2025,P0560,W02,S014,Pune,Electronics,Headphones,10,3946,39460,339,8,Cancelled,Card,Normal,On Time
100153,12/06/2025,P0360,W05,S014,Hyderabad,Electronics,Mouse,10,464,4640,280,5,Delivered,Card,Normal,On Time
100154,06/10/2025,P0696,W01,S005,Chennai,Electronics,Headphones,5,1895,9475,462,1,Pending,Cash,Normal,On Time
100155,1/19/2025,P0463,W01,S003,Jaipur,Furniture,Chair,9,1239,11151,409,3,Shipped,Cash,Normal,On Time
100156,03/05/2024,P0548,W04,S007,Ahmedabad,Furniture,Shelf,9,3223,29007,282,8,Delivered,Card,Normal,On Time
100157,06/10/2024,P0452,W04,S001,Ahmedabad,Furniture,Desk,16,2523,40368,222,9,Delivered,Net Banking,Normal,On Time
100158,12/17/2025,P0774,W02,S014,Bengaluru,Furniture,Desk,5,2672,13360,131,5,Cancelled,Cash,Normal,On Time
100159,8/22/2024,P0393,W01,S004,Kolkata,Office Supplies,Notebook,250,4106,1026500,89,3,Cancelled,Unknown,Outlier,On Time
100160,10/05/2025,P0767,W02,S014,Bengaluru,Electronics,Keyboard,12,1323,15876,245,3,Delivered,Unknown,Normal,On Time
100161,09/11/2024,P0567,W05,S020,Bengaluru,Office Supplies,Marker,7,1023,7161,121,2,Shipped,Unknown,Normal,On Time
100162,5/26/2025,P0654,W05,S003,Hyderabad,Office Supplies,Stapler,10,419,4190,484,5,Cancelled,Unknown,Normal,On Time
100163,03/02/2024,P0408,W05,S010,Delhi,Office Supplies,Notebook,12,1281,15372,248,10,delivered,Unknown,Normal,On Time
100164,11/30/2024,P0401,W05,S003,Hyderabad,Office Supplies,Stapler,14,3495,48930,92,9,Cancelled,Unknown,Normal,On Time
100165,12/21/2024,P0536,W05,S009,Bengaluru,Furniture,Table,8,906,7248,272,2,Pending,Unknown,Normal,On Time
100166,10/04/2025,P0079,W04,S015,Delhi,Electronics,Keyboard,5,2401,12005,425,2,Shipped,Unknown,Normal,On Time
100167,1/13/2024,P0251,W01,S016,Vizag,Office Supplies,Printer Paper,2,4843,9686,135,6,Delivered,Unknown,Normal,On Time
100168,11/20/2025,P0054,W02,S008,Delhi,Furniture,Table,5,489,2445,333,7,Cancelled,Unknown,Normal,On Time
100169,9/29/2025,P0249,W04,S012,Hyderabad,Office Supplies,Notebook,13,4010,52130,493,5,shipped,Unknown,Normal,On Time
100170,11/04/2025,P0386,W03,S004,Mumbai,Office Supplies,Marker,7,4677,32739,439,4,Cancelled,Unknown,Normal,On Time
100171,8/17/2025,P0098,W05,S005,Pune,Electronics,Headphones,8,690,5520,122,5,Shipped,Unknown,Normal,On Time
100172,3/17/2024,P0208,W02,S019,Pune,Office Supplies,Marker,3,710,2130,272,3,Shipped,Unknown,Normal,On Time
100173,06/10/2024,P0703,W03,S020,Ahmedabad,Electronics,Mouse,4,4017,16068,210,7,Pending,Unknown,Normal,On Time
100174,7/17/2025,P0256,W01,S015,Kolkata,Electronics,Mouse,11,2233,24563,232,7,Pending,Unknown,Normal,On Time
100175,03/07/2024,P0203,W04,S005,Chennai,Electronics,Mouse,4,2020,8080,116,4,Delivered,Unknown,Normal,On Time
100176,08/07/2024,P0192,W03,S009,Kolkata,Electronics,Keyboard,4,3976,15904,75,3,Shipped,Unknown,Normal,On Time
100177,6/22/2025,P0256,W05,S001,Kolkata,Furniture,Desk,2,2213,4426,381,5,Cancelled,Unknown,Normal,On Time
100178,10/14/2024,P0060,W04,S017,Hyderabad,Furniture,Cabinet,16,4170,66720,226,10,Delivered,Unknown,Normal,On Time
100179,6/26/2024,P0181,W02,S019,Kolkata,Furniture,Shelf,8,1020,8160,176,4,Pending,Unknown,Normal,On Time
100180,8/26/2024,P0617,W02,S001,Bengaluru,Furniture,Cabinet,19,3080,58520,340,10,Shipped,Unknown,Normal,On Time
100181,4/23/2024,P0539,W03,S003,Bengaluru,Office Supplies,Marker,1,1850,1850,462,3,Cancelled,Unknown,Normal,On Time
100182,9/20/2025,P0366,W02,S019,Bengaluru,Furniture,Table,19,2672,50768,215,3,Shipped,Unknown,Normal,On Time
100183,8/14/2024,P0655,W05,S004,Pune,Electronics,Monitor,10,2612,26120,115,3,Delivered,Unknown,Normal,On Time
100184,12/24/2024,P0263,W01,S001,Chennai,Furniture,Desk,11,2149,23639,227,6,Cancelled,Unknown,Normal,On Time
100185,6/15/2024,P0463,W01,S002,Jaipur,Electronics,Monitor,15,1562,23430,261,8,Delivered,Unknown,Normal,On Time
100186,05/09/2025,P0722,W01,S014,Delhi,Furniture,Chair,11,1057,11627,87,6,Delivered,Unknown,Normal,On Time
100187,08/08/2025,P0563,W04,S005,Chennai,Office Supplies,Pen,20,1486,29720,77,2,Cancelled,Unknown,Normal,On Time
100188,02/11/2025,P0483,W04,S009,Delhi,Electronics,Keyboard,1,2612,2612,471,10,Pending,Unknown,Normal,On Time
100189,12/14/2025,P0684,W01,S003,Chennai,Electronics,Headphones,13,3324,43212,239,3,Cancelled,Unknown,Normal,On Time
100190,02/05/2024,P0515,W05,S017,Hyderabad,Office Supplies,Printer Paper,18,2063,37134,333,1,Shipped,Unknown,Normal,On Time
100191,5/31/2024,P0610,W03,S011,Kolkata,Office Supplies,Stapler,5,3878,19390,138,3,Shipped,Unknown,Normal,On Time
100192,4/25/2024,P0425,W02,S005,Jaipur,Office Supplies,Notebook,3,3455,10365,332,6,Delivered,Unknown,Normal,On Time
100193,9/15/2025,P0485,W01,S006,Chennai,Office Supplies,Stapler,19,1020,19380,104,10,Cancelled,Unknown,Normal,On Time
100194,11/06/2024,P0319,W03,S016,Chennai,Furniture,Table,5,3490,17450,69,7,Delivered,Unknown,Normal,On Time
100195,05/11/2025,P0778,W05,S012,Hyderabad,Office Supplies,Notebook,8,3829,30632,446,6,Delivered,Unknown,Normal,On Time
100196,01/04/2025,P0722,W02,S009,Hyderabad,Electronics,Headphones,6,4351,26106,256,3,Pending,Unknown,Normal,On Time
100197,6/16/2024,P0265,W01,S010,Ahmedabad,Furniture,Table,17,1214,20638,398,1,Pending,Unknown,Normal,On Time
100198,11/29/2025,P0010,W04,S005,Vizag,Electronics,Monitor,2,4887,9774,449,4,Cancelled,Unknown,Normal,On Time
100199,08/11/2024,P0478,W03,S017,Kolkata,Office Supplies,Pen,20,2033,40660,179,10,Cancelled,Unknown,Normal,On Time
100200,10/10/2024,P0268,W03,S007,Pune,Office Supplies,Marker,19,4390,83410,389,6,Delivered,Unknown,Normal,On Time
100201,8/20/2025,P0726,W05,S007,Kolkata,Electronics,Headphones,8,3510,28080,388,6,Cancelled,Unknown,Normal,On Time
100202,7/26/2025,P0782,W02,S011,Ahmedabad,Furniture,Desk,18,4097,73746,393,6,Pending,Unknown,Normal,On Time
100203,4/28/2025,P0200,W05,S004,Jaipur,Office Supplies,Notebook,8,2715,21720,265,6,Delivered,Unknown,Normal,On Time
100204,10/08/2025,P0182,W03,S002,Bengaluru,Office Supplies,Marker,17,642,10914,495,3,Shipped,Unknown,Normal,On Time
100205,01/05/2024,P0039,W05,S007,Kolkata,Electronics,Monitor,9,1581,14229,345,3,Shipped,Unknown,Normal,On Time
100206,6/20/2024,P0067,W01,S010,Delhi,Office Supplies,Printer Paper,1,4550,4550,147,1,Cancelled,Unknown,Normal,On Time
100207,5/14/2024,P0217,W01,S019,Kolkata,Furniture,Table,17,2967,50439,272,3,Pending,Unknown,Normal,On Time
100208,3/30/2025,P0390,W01,S018,Mumbai,Office Supplies,Pen,4,506,2024,242,5,Delivered,Unknown,Normal,On Time
100209,10/16/2024,P0117,W01,S016,Delhi,Furniture,Table,5,276,1380,204,7,Pending,Unknown,Normal,On Time
